,prev_line,current_line,tone
938,私ってバカなフリしても一 ただの金髪美女じゃないのよ,このセーターの人でしょ,neutral
939,このセーターの人でしょ,どうしよう 彼が中に?,surprise
940,どうしよう 彼が中に?,ここで帰ってもいいしバンドエイドはがしてもいい,neutral
941,ここで帰ってもいいしバンドエイドはがしてもいい,はがすわ,fear
942,はがすわ,マジ?,surprise
943,マジ?,ごめん,joy
944,ごめん,やあ,neutral
945,チケットをありがと,貴重な体験だったから君らにも見てほしい,joy
946,俺じゃないよ,見るか?,neutral
947,見るか?,見ないわけ?,sadness
948,見ないわけ?,私は見る そんな!,surprise
949,私は見る そんな!,モニカは知ってますよね?,neutral
950,チャンドラーは大当たり,相性ピッタリよ会った途端ピタッって音がした,joy
951,相性ピッタリよ会った途端ピタッって音がした,彼に聞いた?,surprise
952,彼に聞いた?,彼はハートもいいわ,joy
953,彼はハートもいいわ,優しいのよね」 また電話するって,joy
954,優しいのよね」 また電話するって,やりましたね 黙ってて,joy
955,やあ,悪い話よ,sadness
956,悪い話よ,食後仕事に戻るわ,neutral
957,食後仕事に戻るわ,この2週間残業ばかりだどうして?」 僕が辞めるせいだ,sadness
958,この2週間残業ばかりだどうして?」 僕が辞めるせいだ,仕事は大切さ 辞めるなんてどうした? 燃え尽きてもうボロボロか,joy
959,仕事は大切さ 辞めるなんてどうした? 燃え尽きてもうボロボロか,いい職場に移るの,neutral
960,いい職場に移るの,それじゃお別れだなグッバイ」,joy
961,それじゃお別れだなグッバイ」,じゃ土曜に,neutral
962,じゃ土曜に,またね,neutral
963,おっはー,3年遅れだ,joy
964,3年遅れだ,頼みがある,neutral
965,頼みがある,外出するから一,neutral
966,外出するから一,ジョーイがモリーに手を出さないよう見張ってて,neutral
967,ジョーイがモリーに手を出さないよう見張ってて,ジョーイを疑う? 母親を名乗る人物からモリーあてに電話があった,surprise
968,しかたないよやつは結婚制度に反対だ,別の人にプロポーズされたわ,anger
969,別の人にプロポーズされたわ,ホント?,surprise
970,ホント?,リチャードよ,anger
971,リチャードよ,彼がプロポーズしたのにチャンドラーは結婚嫌いなの?,surprise
972,彼がプロポーズしたのにチャンドラーは結婚嫌いなの?,そうよ,neutral
973,そうよ,誤解するなよ!,neutral
974,初耳だろうけど高校時代一 君が好きだった,知ってた,neutral
975,知ってた,そっか 変な兄貴だと思ってた?,surprise
976,そっか 変な兄貴だと思ってた?,思ってた,neutral
977,思ってた,質問だ 僕は繊細だけど気にせず答えて,fear
978,質問だ 僕は繊細だけど気にせず答えて,いつか君を誘ってもいい?,neutral
979,いつか君を誘ってもいい?,たぶん,joy
980,たぶん,たぶん誘うよ,joy
981,友達が喜ぶと俺もうれしい,驚いたよ,joy
982,驚いたよ,これこそ驚きだ,neutral
983,これこそ驚きだ,開けゴマのテレビ! 夢みたい よく金が,surprise
984,開けゴマのテレビ! 夢みたい よく金が,もう29だし貯金はいらない,neutral
985,もう29だし貯金はいらない,世界一の親友だ,joy
986,世界一の親友だ,どうかな,fear
987,どうかな,最高だよ,joy
988,最高だよ,家具も忠告もくれる お前の言うとおり1人に絞ることにした,joy
989,家具も忠告もくれる お前の言うとおり1人に絞ることにした,ケイシーか?,neutral
990,ケイシーか?,いやキャシーだ彼女はイケてる」,neutral
991,いやキャシーだ彼女はイケてる」,ケイシー? キャシーだ,neutral
992,ケイシー? キャシーだ,ケイシーもいい,neutral
993,ケイシーもいい,いやキャシー,neutral
994,いやキャシー,ケイシーにしろ,neutral
995,ケイシーにしろ,丸く収まっちゃうよ,joy
996,首つり用の縄があったら貸して,何ごと? ジャニスを見た,neutral
997,彼女いいね,歌詞も韻を踏んでるしね,anger
998,歌詞も韻を踏んでるしね,好きだな,neutral
999,好きだな,ギターを弾きつつ歌えるから?,neutral
1000,ギターを弾きつつ歌えるから?,歌手としては十分だ,neutral
1001,歌手としては十分だ,ライバル意識?,anger
1002,ライバル意識?,君とはスタイルが違うよ 彼女のほうは 君のほうは,neutral
1003,君とはスタイルが違うよ 彼女のほうは 君のほうは,あのコはいつも大ウケよ,anger
1004,あのコはいつも大ウケよ,次の曲名は一,neutral
1005,次の曲名は一,あなたとのデュオを解消して後悔してる,neutral
1006,あなたとのデュオを解消して後悔してる,回りくどい曲名だこと,neutral
1007,実はお宅の製品で友達の顔にいたずら書きを,ヒゲなんだけど,neutral
1008,ヒゲなんだけど,本人は嫌がってる,neutral
1009,本人は嫌がってる,ほかには何て?,surprise
1010,ほかには何て?,あなたは面白い人だ,neutral
1011,あなたは面白い人だ,カジノへ繰り出して楽しめば顔のことなど忘れるよ,neutral
1012,カジノへ繰り出して楽しめば顔のことなど忘れるよ,そんなに変じゃない,neutral
1013,そんなに変じゃない,人間お絵描き帳よ!,anger
1014,人間お絵描き帳よ!,どっかのバカのせいで旅を楽しまない気?,neutral
1015,どっかのバカのせいで旅を楽しまない気?,誰も君には注目しないよ,neutral
1016,誰も君には注目しないよ,確かに何人かは指を差した,neutral
1017,支払いは?その 巨乳レディース,買うのはよすよ近所の子に頼まれただけだ,neutral
1018,嫌だ! 何してるの,君がレモネードでも,neutral
1019,君がレモネードでも,それが?,disgust
1020,それが?,レモネードだけ? そうよ!,surprise
1021,レモネードだけ? そうよ!,隠して,disgust
1022,隠して,ごめん,neutral
1023,ごめん,レモネードをエッチの誘いだと思うわけ?,disgust
1024,レモネードをエッチの誘いだと思うわけ?,アイスティーとかジュースでも同じだよ,surprise
1025,アイスティーとかジュースでも同じだよ,誤解してた俺に気があるのかと,neutral
1026,誤解してた俺に気があるのかと,バカだな,sadness
1027,バカだな,いいの よくある間違いよ 普通はないけど,neutral
1028,ステキね,質問だ 質問っていうか素朴な疑問かもしれない いや,neutral
1029,質問だ 質問っていうか素朴な疑問かもしれない いや,何?,neutral
1030,何?,じゃ言うよ ちょっと前からだけど実は僕,neutral
1031,じゃ言うよ ちょっと前からだけど実は僕,そうなんだ,neutral
1032,そうなんだ,かわいいネコよ,surprise
1033,かわいいネコよ,何が?,surprise
1034,いずれはと考えてたし,さらばマイク結婚式に来てくれよ,joy
1035,さらばマイク結婚式に来てくれよ,招待しないと思うけど,neutral
1036,招待しないと思うけど,ありがと助かった どういたしまして,neutral
1037,ありがと助かった どういたしまして,どう求婚すれば? 読書のふりしてる,neutral
1038,質問できるのは残り19回よ 質問で答えを探らないと一,楽しい旅にする約束なのに6時間中5時間半も寝てる,anger
1039,楽しい旅にする約束なのに6時間中5時間半も寝てる,次の休憩所からはずっと運転してもらうわよ 寝るしんぼう,anger
1040,次の休憩所からはずっと運転してもらうわよ 寝るしんぼう,分かった,neutral
1041,分かった,それまでラジオ代わりに歌ってよ あなたは美声だから,anger
1042,それまでラジオ代わりに歌ってよ あなたは美声だから,歌は 歌元!,anger
1043,歌は 歌元!,おはよう,joy
1044,カモ料理が最高,どうも 何もなし?,joy
1045,どうも 何もなし?,実は小さな不満が,neutral
1046,実は小さな不満が,どうぞ批判は大歓迎よ,neutral
1047,どうぞ批判は大歓迎よ,外の音楽がムードを壊してる,sadness
1048,外の音楽がムードを壊してる,音樂?,surprise
1049,僕も?,20ドル貸し,joy
1050,20ドル貸し,本当にありがとね,joy
1051,本当にありがとね,チャンドラー用の食料よ トマトスープにチーズにスナック菓子,neutral
1052,チャンドラー用の食料よ トマトスープにチーズにスナック菓子,それが感謝祭の食事?,surprise
1053,それが感謝祭の食事?,9歳の時だ,neutral
1054,9歳の時だ,またその話か,sadness
1055,またその話か,豪華な食事だった,neutral
1056,豪華な食事だった,その瞬間に両親が離婚すると告げた,sadness
1057,その瞬間に両親が離婚すると告げた,ひどい,surprise
1058,この裸ん坊は?,たぶん僕だよ,neutral
1059,たぶん僕だよ,小さいのが付いてる,surprise
1060,小さいのが付いてる,これおばあちゃんよ 見せて私と仲間たちだって,neutral
1061,これおばあちゃんよ 見せて私と仲間たちだって,モニカはおばあさま似ね 何歳の時?,surprise
1062,モニカはおばあさま似ね 何歳の時?,1939年 24か25歳よ,neutral
1063,1939年 24か25歳よ,仲よさそう,neutral
1064,仲よさそう,見つけたぞモニカの裸だ,joy
1065,何の用?,レイチェルから話があるの あなたのセーターでしょ?,neutral
1066,レイチェルから話があるの あなたのセーターでしょ?,違うよ 僕のはこれ,neutral
1067,違うよ 僕のはこれ,あらら コーヒー飲む人は? 私は毒を飲むわ,fear
1068,あらら コーヒー飲む人は? 私は毒を飲むわ,話って?,joy
1069,話って?,何でもないフィービーが誤解しただけ そのセーターよく着てるわね記録に挑戦?,fear
1070,何でもないフィービーが誤解しただけ そのセーターよく着てるわね記録に挑戦?,でもいい機会をもらえたよ,joy
1071,でもいい機会をもらえたよ,僕はあれから成長しただからまた付き合ってほしい,joy
1072,僕はあれから成長しただからまた付き合ってほしい,ダメよ 時期が悪いわ,sadness
1073,ひょっとして日付に注目してる? そうだ 君は水瓶座?,あなたは双子座? 違う,neutral
1074,あなたは双子座? 違う,牡牛座? 違う,neutral
1075,牡牛座? 違う,乙女座? いや,neutral
1076,乙女座? いや,射手座?,neutral
1077,射手座?,だ と 思った,joy
1078,だ と 思った,よく聞いて,neutral
1079,よく聞いて,速度は抑える 抑える,neutral
1080,速度は抑える 抑える,免許は更新する します,neutral
1081,免許は更新する します,それまで運転は彼に,neutral
1082,それまで運転は彼に,ギアは使える?,neutral
1083,ギアは使える?,ダメ 使えるとも!,neutral
1084,長引いてるわね 気分は?,セントバーナードをお尻から出す気分よ,sadness
1085,セントバーナードをお尻から出す気分よ,ところで変な声が 現実だったのね,surprise
1086,ところで変な声が 現実だったのね,チャンドラービング!,surprise
1087,チャンドラービング!,ジャニス,surprise
1088,ジャニス,ただのジャニスじゃない子宮が収縮中だ,joy
1089,ただのジャニスじゃない子宮が収縮中だ,平気よ 骨盤が広いから 知ってるわね?,neutral
1090,平気よ 骨盤が広いから 知ってるわね?,君にエキスをしぼり取られた男は誰だ?,surprise
1091,君にエキスをしぼり取られた男は誰だ?,あなたよ あなたの子なの,neutral
1092,あなたよ あなたの子なの,あの顔見て何年も寝てないのに!,joy
1093,腹減ったよ 今度スープかサラダか聞かれたら両方頼むぞ,この部屋は誰もいないみたいだ,neutral
1094,この部屋は誰もいないみたいだ,窓を割って入ろうよ あとで説明すればいい,neutral
1095,窓を割って入ろうよ あとで説明すればいい,本当に留守? と思う,surprise
1096,本当に留守? と思う,じゃ君が入って,neutral
1097,どうかした?,ダニーが地下鉄で女の子に腕回してたの,sadness
1098,ダニーが地下鉄で女の子に腕回してたの,全部あなたのせいよ 私たちの仲に干渉した,anger
1099,全部あなたのせいよ 私たちの仲に干渉した,仲って何よ,anger
1100,仲って何よ,プランを立ててうまく運ぶ気だったのに,anger
1101,プランを立ててうまく運ぶ気だったのに,何がプランよ,anger
1102,何がプランよ,女がいたっていいじゃない,neutral
1103,女がいたっていいじゃない,デートで魅力をぶつければ彼はそんなアホ女忘れるわ,neutral
1104,デートで魅力をぶつければ彼はそんなアホ女忘れるわ,確かにアホ面だった言えてるわ,neutral
1105,確かにアホ面だった言えてるわ,デートに行ってやる,neutral
1106,デートに行ってやる,そのデートこそ新たなプランよ,neutral
1107,ステキだね,ホント? ありがと,neutral
1108,ホント? ありがと,出世したのね すごいわ 主役だなんて,neutral
1109,出世したのね すごいわ 主役だなんて,以前はただの端役だったのに,neutral
1110,以前はただの端役だったのに,君は今に主役よって,joy
1111,君は今に主役よって,予言的中で気味悪いわ,neutral
1112,予言的中で気味悪いわ,会いたかった,neutral
1113,会いたかった,着替えるよ,neutral
1114,着替えるよ,いいかな?,neutral
1115,いいかな?,そっか,neutral
1116,そっか,闘牛士でしょ? オーレ!,joy
1117,ジェンよ今夜はパーティーね,お宅の住所を忘れたの連絡して,neutral
1118,お宅の住所を忘れたの連絡して,どうした?,joy
1119,どうした?,行きたいが明日の朝が早い俺は仕事第一だろ,neutral
1120,行きたいが明日の朝が早い俺は仕事第一だろ,ジェンよ今夜はパーティーね,joy
1121,ジェンよ今夜はパーティーね,ジェンのバカ!,anger
1122,ジェンのバカ!,今夜パーティーを?,surprise
1123,今夜パーティーを?,愛の病院日誌の集まりだ,neutral
1124,愛の病院日誌の集まりだ,毎年やってる,neutral
1125,毎年やってる,毎年ですって?,surprise
1126,毎年ですって?,口が滑った 俺ってジェンよりバカ!,anger
1127,口が滑った 俺ってジェンよりバカ!,追い払うために芝居の券を?,anger
1128,追い払うために芝居の券を?,去年中世風レストランに行ったのも?,anger
1129,去年中世風レストランに行ったのも?,おととしのボタン工場見学もだますため?,anger
1130,誰から?,ロスだ,neutral
1131,ロスだ,ウソ 覚えてたのね,surprise
1132,ウソ 覚えてたのね,何を?,neutral
1133,何を?,以前アンティーク店でこれを見て一 おばあさまのブローチに似てるって言ったの,sadness
1134,以前アンティーク店でこれを見て一 おばあさまのブローチに似てるって言ったの,覚えてたのよ,surprise
1135,覚えてたのよ,きれいね,surprise
1136,きれいね,それに高そう なぜ兄さんが?,surprise
1137,それに高そう なぜ兄さんが?,キャロルに夢中だったときもクリスタルのアヒルを贈った,neutral
1138,キャロルに夢中だったときもクリスタルのアヒルを贈った,信じられない,surprise
1139,同感よ いいお天気ね 一日中こうしてたい,いいね,joy
1140,いいね,朝食はベッドで,joy
1141,朝食はベッドで,その前に,neutral
1142,フェームの役者が売り子やってた,じゃ映画へ ボニーよ,surprise
1143,じゃ映画へ ボニーよ,ボニーってボニー?,surprise
1144,ボニーってボニー?,IDを見せようか,neutral
1145,IDを見せようか,前に会ったときとはずいぶん違うわ,surprise
1146,前に会ったときとはずいぶん違うわ,ノーブラをやめたせいね,neutral
1147,ノーブラをやめたせいね,そのせいね,neutral
1148,そのせいね,デート楽しんで,neutral
1149,デート楽しんで,そっちも,joy
1150,信じるわ,ウソだ ホントよ,neutral
1151,ウソだ ホントよ,悪かったわ自分は常に正しいもんね,anger
1152,悪かったわ自分は常に正しいもんね,正しいとは,anger
1153,正しいとは,恐竜に襲われろ,neutral
1154,兄さんが無断外泊なんて,ゴミのシュートかも,neutral
1155,ゴミのシュートかも,入らないわよ,neutral
1156,入らないわよ,途中でつっかえてる 俺は経験者だ,neutral
1157,途中でつっかえてる 俺は経験者だ,よかった どこにいたのよ!,anger
1158,よかった どこにいたのよ!,ちょっと外に,neutral
1159,ちょっと外に,何してたの?,neutral
1160,何してたの?,バーに行って それから一 しばらく歩いてた,neutral
1161,バーに行って それから一 しばらく歩いてた,ヤッてたな 誰かとヤッてた,surprise
1162,ヤッてたな 誰かとヤッてた,質問に答える義務はない 僕は大人なんだぞ,anger
1163,質問に答える義務はない 僕は大人なんだぞ,ヤッたな 相手は?,joy
1164,ヤッたな 相手は?,ロス忘れ物 ハーイみんな,neutral
1165,いい写真だ,魅力的なカップルだわ,neutral
1166,魅力的なカップルだわ,お似合いだな ホントね,joy
1167,お似合いだな ホントね,あっそ,neutral
1168,あっそ,子供はきっと美形ね,joy
1169,子供はきっと美形ね,すぐデキるさ,neutral
1170,すぐデキるさ,夫は俺だ,joy
1171,夫は俺だ,まだ分かんないぞ,neutral
1172,ポルシェに傷がつく,ジョーイ,neutral
1173,ジョーイ,やあ元気かい?,neutral
1174,やあ元気かい?,彼のポルシェステキよ」,joy
1175,彼のポルシェステキよ」,見せたいが寝てるとこ,neutral
1176,見せたいが寝てるとこ,飲まない?,neutral
1177,あの老女は死んだよ,予期せぬことに最期のキスをせがまれた,neutral
1178,予期せぬことに最期のキスをせがまれた,ここに残るわ,disgust
1179,ここに残るわ,最高だろ,joy
1180,最高だろ,エーゼル!,disgust
1181,くちゃーいネコ どんなエサ食べてんの? くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない くちゃいのはあなたの責任じゃない,いい歌ね,joy
1182,いい歌ね,CM用に売れるわよネコのトイレの砂とか,neutral
1183,CM用に売れるわよネコのトイレの砂とか,CMはダメ,neutral
1184,CMはダメ,稼げるわ,surprise
1185,稼げるわ,曲で稼ぐ気なら今ごろ億万長者よ,neutral
1186,曲で稼ぐ気なら今ごろ億万長者よ,頭からCMを出して,neutral
1187,無理よ 明日で店を辞めるのに当てもない,ガンターに辞めないって言うわ 逃げることになる あんたに言われる筋合いはない説教なんかご免よ,joy
1188,ご注文を確認します これは一,アメリカンに無脂肪乳を加えクリームをのせた特製ラテ,neutral
1189,アメリカンに無脂肪乳を加えクリームをのせた特製ラテ,どうぞ,joy
1190,どうぞ,ヤな客,disgust
1191,ヤな客,コーヒーを,neutral
1192,コーヒーを,イザベラロッセリーニだ,neutral
1193,イザベラロッセリーニだ,ホント?,surprise
1194,ホント?,リストから外したのに,anger
1195,リストから外したのに,ナンパでもする気?,neutral
1196,ナンパでもする気?,ウソよ,disgust
1197,ウソよ,無理だと?,neutral
1198,無理だと?,私への告白に10年がかりよ,neutral
1199,私への告白に10年がかりよ,リストをパウチしたことに感謝したまえ,anger
1200,リストをパウチしたことに感謝したまえ,ナンパしなさいよ公認だもの,neutral
1201,ナンパしなさいよ公認だもの,本当にいいの?,surprise
1202,本当にいいの?,相手は女優よ 映画鑑賞の気分だわ,joy
1203,私はビー紅茶はティー 私はビー紅茶はティー 私はビー紅茶はティー 私はビー紅茶はティー 私はビー紅茶はティー 私はビー紅茶はティー 私はビー紅茶はティー よせ,一緒にダンス,neutral
1204,どっち?,左よ,joy
1205,左よ,どうも いいえ,neutral
1206,どうも いいえ,ジョーイ,neutral
1207,ジョーイ,交換を そうね,joy
1208,無理に紹介してごめん,いいのよ,joy
1209,いいのよ,1人で楽しめた,joy
1210,1人で楽しめた,チャリティーも成功よ お金も注目も集まった,joy
1211,チャリティーも成功よ お金も注目も集まった,結局趣旨は?,neutral
1212,結局趣旨は?,病気にしとく,neutral
1213,病気にしとく,ロスから電話でMTVを見ろって,neutral
1214,ロスから電話でMTVを見ろって,エリザベスだわ,surprise
1215,エリザベスだわ,ゲラー先生ったら,neutral
1216,ゲラー先生ったら,3歳に戻りたいよ,neutral
1217,チャンドラーを誘った? またフラれた,言っていい?,anger
1218,言っていい?,向こうがその気ならこっちも知らんぷりしよう,anger
1219,向こうがその気ならこっちも知らんぷりしよう,シカトか,joy
1220,シカトか,賛成だ 見てろよ,joy
1221,ドアノブが痛い,春休みのこと 春休み?,neutral
1222,春休みのこと 春休み?,春休みの話の続きをしたい,joy
1223,春休みの話の続きをしたい,僕は一 今のままで楽しい 先をあせったりお互いを追い詰めたくない,fear
1224,僕は一 今のままで楽しい 先をあせったりお互いを追い詰めたくない,一緒に旅行するのはよそうまだ早い,sadness
1225,一緒に旅行するのはよそうまだ早い,あなたは早とちりしてるわ フロリダに行くと断りたかっただけよ,surprise
1226,あなたは早とちりしてるわ フロリダに行くと断りたかっただけよ,入りたまえ 君こそ誤解してるよ 僕は,surprise
1227,入りたまえ 君こそ誤解してるよ 僕は,その話題に移ろう,joy
1228,取れたの?,10数時間でクロッグはフル装備に戻って戦える,neutral
1229,10数時間でクロッグはフル装備に戻って戦える,こっちは子供たちに授乳して寝かせたわよ,neutral
1230,こっちは子供たちに授乳して寝かせたわよ,竜巻からも守った?,neutral
1231,竜巻からも守った?,私って偉いでしょ,neutral
1232,私って偉いでしょ,何があったわけ?,surprise
1233,何があったわけ?,全部一人で面倒見たのよ,joy
1234,全部一人で面倒見たのよ,私の部屋が 偉業達成の舞台だ,surprise
1235,私の部屋が 偉業達成の舞台だ,偉業に比べれば大したことない,neutral
1236,偉業に比べれば大したことない,そうね部屋が何よ,neutral
1237,そうね部屋が何よ,子供のほうが大事ね いつ作る?,neutral
1238,子供のほうが大事ね いつ作る?,何で散らかした!,anger
1239,赤ちゃんが蹴った,ホント?,surprise
1240,ホント?,今は蹴ってない でもこれもう1回見せて,joy
1241,今は蹴ってない でもこれもう1回見せて,いつ蹴ったわけ?,joy
1242,いつ蹴ったわけ?,ゆうべよ寝てるジョーイを起こしたわ,joy
1243,最近の話題は何?,いまだにあなたがバリーを捨てたことよ,neutral
1244,いまだにあなたがバリーを捨てたことよ,まじめな話をしましょ,neutral
1245,まじめな話をしましょ,いつ帰るの?,neutral
1246,いつ帰るの?,家へ?帰らないわ,surprise
1247,家へ?帰らないわ,話して友達でしょ,neutral
1248,話して友達でしょ,帰らないわ働いてるもの 仕事よ,neutral
1249,帰らないわ働いてるもの 仕事よ,ウェートレスが?,surprise
1250,ウェートレスが?,ただのウェートレスじゃないわ,neutral
1251,ただのウェートレスじゃないわ,だって,neutral
1252,だって,今日のお勧めを書いたり一,neutral
1253,今日のお勧めを書いたり一,枯れたお花を花瓶から捨てたり一 クッキーにチョコを載せたりもする お母様の話とは違うわね,sadness
1254,仕事のあと寄るよ,消防車で来て,neutral
1255,消防車で来て,サイレン鳴らす,neutral
1256,サイレン鳴らす,やった,surprise
1257,やった,ご利益よ儀式の効果だわ 本当化,joy
1258,ご利益よ儀式の効果だわ 本当化,消防士だもん,joy
1259,息子よ,名前はジェイミーって決めたはずだ,anger
1260,名前はジェイミーって決めたはずだ,スーザンの初恋の人がジェイミーだったの,neutral
1261,スーザンの初恋の人がジェイミーだったの,ジョーディなんてどこから出た,surprise
1262,ジョーディなんてどこから出た,脚がつった,anger
1263,脚がつった,さするよ,neutral
1264,さするよ,私よ,neutral
1265,私よ,彼女の体を独占か?,anger
1266,彼女の体を独占か?,触らないで,neutral
1267,触らないで,早く!,anger
1268,早く!,どっちょ 行って!,neutral
1269,フランス語も話せるわ 今の変?,直訳すると私と寝ませんか?,neutral
1270,直訳すると私と寝ませんか?,だからフレンチカフェでウケたのね,surprise
1271,だからフレンチカフェでウケたのね,トントン,neutral
1272,トントン,セルゲイにガリ元事務総長の記事はよかったと伝えて,neutral
1273,セルゲイにガリ元事務総長の記事はよかったと伝えて,ガリって言ってない,neutral
1274,ガリって言ってない,同感だ,neutral
1275,同感だ,面白い意見ね,neutral
1276,面白い意見ね,それで君は,neutral
1277,それで君は,私語の前に今の続きよ セルゲイに伝えて そのスーツはステキねって,joy
1278,私語の前に今の続きよ セルゲイに伝えて そのスーツはステキねって,シェフ?,neutral
1279,シェフ?,自分の店が夢よ,joy
1280,自分の店が夢よ,メニューの陰に顔貸して,neutral
1281,メニューの陰に顔貸して,何なのよ 会話してるだけ,neutral
1282,何なのよ 会話してるだけ,そのおかげでセルゲイと話ができない,anger
1283,そのおかげでセルゲイと話ができない,私に黙って座ってろと?,anger
1284,私に黙って座ってろと?,そうしてね助かる,neutral
1285,ついに山頂に達したがカメラを忘れてた,俺にも同じ経験が,neutral
1286,俺にも同じ経験が,いつお前に経験が?,surprise
1287,いつお前に経験が?,ジョギング中に小鳥を撮ろうとしてカメラがなかった,neutral
1288,ジョギング中に小鳥を撮ろうとしてカメラがなかった,屋台を追うのがジョギングか,disgust
1289,屋台を追うのがジョギングか,ズボンについた,anger
1290,ズボンについた,取るわ,neutral
1291,取るわ,シミになるから着替えて,neutral
1292,シミになるから着替えて,デートだしね,joy
1293,デートだしね,バーイ スゴすぎ!,joy
1294,バーイ スゴすぎ!,目を疑ったわ 言ったでしょ,surprise
1295,目を疑ったわ 言ったでしょ,兄妹であれだぞ,surprise
1296,写真を見たぞ,何の写真?,surprise
1297,何の写真?,俺の女房の写真だ,anger
1298,俺の女房の写真だ,俺の荷物を見たのか?,anger
1299,俺の荷物を見たのか?,なぜ妻の写真がある?,anger
1300,なぜ妻の写真がある?,それは愛し合ってるからだ 2年間もな!,anger
1301,それは愛し合ってるからだ 2年間もな!,カット最高だ,joy
1302,カット最高だ,熱が入った,joy
1303,熱が入った,最後のセリフでびしょぬれだよ,joy
1304,最後のセリフでびしょぬれだよ,お疲れ 明日の予定表だ 明日はオフだよ,neutral
1305,お疲れ 明日の予定表だ 明日はオフだよ,しっかりしてパニクるとモニカに気づかれる 分かってるけど,neutral
1306,電話しなきゃ,私らの婚約を思い出す,joy
1307,私らの婚約を思い出す,ぜひそのお話を やめて,neutral
1308,ぜひそのお話を やめて,デキちゃった婚だった,joy
1309,デキちゃった婚だった,犬がペッサリーをオモチャにしたせいよ,disgust
1310,犬がペッサリーをオモチャにしたせいよ,ステキなお話,neutral
1311,ステキなお話,ハロウィーンのときに聞かされたのよ,disgust
1312,ハロウィーンのときに聞かされたのよ,怖い話だからね,surprise
1313,怖い話だからね,早速式を計画中だから私の結婚貯金を崩してね,joy
1314,早速式を計画中だから私の結婚貯金を崩してね,私は言えない,fear
1315,私は言えない,モニカの結婚貯金は?,surprise
1316,モニカの結婚貯金は?,海辺の別荘にバケたよ,neutral
1317,シートを1の場所にはる,はった,joy
1318,はった,楽々引っ張りタブを一気にはがせば痛みなし,neutral
1319,楽々引っ張りタブを一気にはがせば痛みなし,痛いの?,surprise
1320,痛いの?,ものすごく 無痛じゃなくて激痛脱毛よ,disgust
1321,ものすごく 無痛じゃなくて激痛脱毛よ,CMのモデルは涼しい顔してたわ,neutral
1322,CMのモデルは涼しい顔してたわ,おバカだから感じないのよ,anger
1323,おバカだから感じないのよ,信じないならお試しあれ,neutral
1324,断っとくが練習中だからね,一緒に歌って,joy
1325,デビッドがいる,デビッド?,neutral
1326,デビッド?,あの科学者よ 私と恋愛中にロシアに行ったデビッド,sadness
1327,あの科学者よ 私と恋愛中にロシアに行ったデビッド,連呼してバレた,neutral
1328,連呼してバレた,フィービー デビッド,surprise
1329,フィービー デビッド,ロシアにいると思ってたわ,surprise
1330,ロシアにいると思ってたわ,学会で帰国した,neutral
1331,学会で帰国した,そうね あなたもよ髪切った?,joy
1332,そうね あなたもよ髪切った?,30回ぐらいね,neutral
1333,よくあることだ,モニカの職場だって一,neutral
1334,モニカの職場だって一,ウェイターとシェフは食事のとき同席しないだろ?,neutral
1335,ウェイターとシェフは食事のとき同席しないだろ?,気にするな お前は白衣だし俺は青い上着だ,neutral
1336,気にするな お前は白衣だし俺は青い上着だ,職場じゃ友達じゃないそれは分かってる,sadness
1337,職場じゃ友達じゃないそれは分かってる,俺も舞台中は客席のお前と話さない,neutral
1338,俺も舞台中は客席のお前と話さない,だからいいんだ,neutral
1339,だからいいんだ,また明日,neutral
1340,また明日,舞台から手は振ってくれるわ,neutral
1341,本当にアホだ,アホはほかにもいる,neutral
1342,アホはほかにもいる,ロスは冬カボチャどてカボチャと言った,joy
1343,ロスは冬カボチャどてカボチャと言った,悪かった,neutral
1344,悪かった,レイチェルが言いかけたのとは違うわ 教えてよ,neutral
1345,レイチェルが言いかけたのとは違うわ 教えてよ,絶対話したくない,sadness
1346,絶対話したくない,過去の傷をほじくるのが感謝祭だぞ,neutral
1347,過去の傷をほじくるのが感謝祭だぞ,俺にとってはそれが正統だ,sadness
1348,フィービー,謝りにきたのパーティーで少しカリカリしてたわ ホルモンのせいよ,sadness
1349,謝りにきたのパーティーで少しカリカリしてたわ ホルモンのせいよ,ホルモンよね,neutral
1350,ご両親は?,旅行中だ,neutral
1351,旅行中だ,大きな家だし窓から公園が見えてロマンチックだ,neutral
1352,大きな家だし窓から公園が見えてロマンチックだ,来る? いいわね,neutral
1353,来る? いいわね,僕をからかってる,fear
1354,ビング ビング妻も!,上司のダグさんだ お久しぶり,neutral
1355,上司のダグさんだ お久しぶり,いいニュースだ 今朝離婚が成立した,joy
